author,year,title,journal,doi,Loon_Lens_Confidence_Level,Loon_Lens_Decision,Human_Decision,Loon_Lens_Reasoning,,,
Whiteman and Matthew; Li and Ling; Rose and Peter; Tan and Choon-Hong; Parkinson and David B.; Moore and Philip K.,2010,The effect of hydrogen sulfide donors on lipopolysaccharide-induced formation of inflammatory mediators in macrophages,Antioxidants & redox signaling,10.1089/ars.2009.2899,VERY_HIGH,EXCLUDE,EXCLUDE,"This review’s eligibility criteria align best with a PEO framework (human Population; Exposure to specified air pollutants CO/O3/NO2; Outcome Parkinson’s disease) and require an observational human study. and Arguments for inclusion: and - None that satisfy the core criteria. Although the abstract mentions nitric oxide (NO), the exposure criteria require nitrogen dioxide (NO2) or the other specified pollutants (CO, O3), and the study is not in humans. and Arguments for exclusion (meets multiple explicit exclusions / fails inclusion): and - Study design/population mismatch: This is an experimental in vitro laboratory study in “murine RAW264.7 macrophages,” not a primary/secondary observational study of a human population. and - Exposure mismatch: The exposure is hydrogen sulfide (H2S) donors (NaHS, GYY4137). None of the required pollutants (CO, O3, NO2) are investigated; “nitric oxide (NO)” is not the same as nitrogen dioxide (NO2). and - Outcome mismatch: Parkinson’s disease is not mentioned as an outcome (the study evaluates inflammatory mediators only). and Consideration of prior screeners: and - AI Researcher 2’s exclusion is consistent with the criteria: wrong study design, non-human/in vitro, wrong exposure, and no Parkinson’s outcome. and - AI Researcher 1’s inclusion rationale relies on mechanistic relevance and non-specified pollutants/neurodegeneration, but the inclusion criteria are explicit about (1) observational human studies, (2) CO/O3/NO2 exposure, and (3) Parkinson’s explicitly as an outcome; this article does not meet those requirements. and Conclusion: Exclude due to non-observational in vitro design, non-human population, absence of required pollutants, and no explicit Parkinson’s outcome. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Jomová, ; Al-Omar, S.Y.; Alwasel, S.H.; Nepovimova, E.; Kuča, K.; Valko, M.",2024,"Several lines of antioxidant defense against oxidative stress: antioxidant enzymes, nanomaterials with multiple enzyme-mimicking activities, and low-molecular-weight antioxidants",Archives of Toxicology,10.1007/s00204-024-03696-4,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it is a review article, not a primary or secondary observational study of a human population, as explicitly stated by phrases like 'This review briefly discusses...' and 'This review provides an overview...' in the abstract. This directly violates the inclusion criterion requiring observational studies and aligns with the exclusion criterion for 'Non observational studies such as experimental... review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter'. Furthermore, while 'pollution' is mentioned as an exogenous source of ROS, the abstract does not specifically mention any of the required air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)). It also does not explicitly link Parkinson's disease to these specific air pollutants, only generally to oxidative stress and pollution as a source of ROS. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Stoessl, ; Rivest, J.",1999,Differential diagnosis of Parkinsonism,Canadian Journal of Neurological Sciences,10.1017/s0317167100000020,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet several key inclusion criteria and aligns with multiple exclusion criteria. First, the abstract indicates that the article is a review of the differential diagnosis and clinical features of Parkinsonism, stating that a 'practical diagnostic approach are briefly reviewed in this article.' This clearly identifies it as a review or commentary, not a primary or secondary observational study of a human population (e.g., cross-sectional, longitudinal, case-control), which is a mandatory inclusion criterion. This also aligns with the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series' and specifically mentions to 'Look for key words in title & abstract that suggest an article is a review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' Second, the article does not mention any of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) in the title or abstract. While 'toxins' are mentioned generally, this does not satisfy the requirement for specific air pollutants. This violates the inclusion criterion that 'At least one pollutant must be mentioned in TiAb or FT' and aligns with the exclusion criterion 'No air pollutant is mentioned'. Finally, Parkinson's is not mentioned as being related to any of the three defined air pollutants, which is a critical inclusion criterion. Therefore, the study does not investigate Parkinson's as a health outcome related to the specified air pollutants. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
Calderón-Garcidueñas and Lilian; Vojdani and Aristo; Blaurock-Busch and Eleonore; Busch and Yvette; Friedle and Albrecht; Franco-Lira and Maricela; Sarathi-Mukherjee and Partha; Martínez-Aguirre and Xavier; Park and Su-Bin; Torres-Jardón and Ricardo; D'Angiulli and Amedeo,2015,"Air pollution and children: neural and tight junction antibodies and combustion metals, the role of barrier breakdown and brain immunity in neurodegeneration",Journal of Alzheimer's disease : JAD,10.3233/JAD-141365,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet the specific air pollutant criteria. While it is an observational study in English, explicitly mentions Parkinson's as an adverse health outcome, and links it to air pollution, it fails to mention any of the required air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)). The abstract mentions 'fine particulate matter (PM2.5)' and other pollutants like formaldehyde, benzene, bisphenol A, Ni, and Cd. The exclusion criteria explicitly state that studies only mentioning 'Particulate Matter' (which includes PM2.5) are to be excluded if they do not mention CO, O3, or NO2. and Exclusion reason: exposure",,,
Andrade-Oliva and María-de-Los-Angeles; Escamilla-Sánchez and Juan; Debray-García and Yazmín; Morales-Rubio and Russell A.; González-Pantoja and Raúl; Uribe-Ramírez and Marisela; Amador-Muñoz and Omar; Díaz-Godoy and Raúl V.; De Vizcaya-Ruiz and Andrea; Arias-Montaño and José-Antonio,2020,"In vitro exposure to ambient fine and ultrafine particles alters dopamine uptake and release, and D(2) receptor affinity and signaling",Environmental toxicology and pharmacology,10.1016/j.etap.2020.103484,VERY_HIGH,EXCLUDE,EXCLUDE,"The article should be excluded based on multiple criteria. First, the study is an 'in vitro' experimental study using rat striatal nerve terminals and CHO-K1 cells, not an observational study of a human population, which violates the inclusion criterion requiring 'Primary or secondary observational studies of a human population' and aligns with the exclusion criterion for 'Non observational studies such as experimental'. Second, the article investigates 'fine and ultrafine particles (FP and UFP)'. The inclusion criteria explicitly list 'Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)' as the air pollutants of interest. The exclusion criteria explicitly state that if 'The study only mentions ‘Particulate Matter’; a separate set of particles from the air pollutants mentioned. Particulate matter consists of PM, PM2.5, PM10, and is also known as ‘UFP’ or ‘Ultra fine particulate matter’', it should be excluded. This article falls under this exclusion. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Zimmermann, ; Fandrich, M.; Jakobi, M.; Röeben, B.; Wurster, I.; Lerche, S.; Schulte, C.; Zimmermann, S.; Deuschle, C.; Schneiderhan-Marra, N.; Gasser, T.; Brockmann, K.",2024,Association of elevated cerebrospinal fluid levels of the longevity protein α-Klotho with a delayed onset of cognitive impairment in Parkinson's disease patients,European Journal of Neurology,10.1111/ene.16388,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet the core inclusion criteria related to air pollution. Specifically, the abstract does not mention any of the required air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)). The study investigates the association of α-Klotho levels with cognitive impairment in Parkinson's disease, but there is no mention of air pollution as a factor related to Parkinson's disease or its outcomes. This directly violates inclusion criteria 'Air pollutants to be mentioned' and 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. Consequently, it also aligns with the exclusion criterion 'Parkinson's is not mentioned as related to air pollutants above'. and Exclusion reason: exposure",,,
"Xing, ; Liu, M.; Wang, X.; Guo, Q.; Wang, H.; Wang, W.",2024,FKBP3 aggravates the malignant phenotype of diffuse large B-cell lymphoma by PARK7-mediated activation of Wnt/β-catenin signalling,Journal of Cellular and Molecular Medicine,10.1111/jcmm.18041,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it fails to meet several key inclusion criteria and aligns with multiple exclusion criteria. Firstly, the study is an experimental investigation into the molecular mechanisms of Diffuse Large B-cell Lymphoma (DLBCL) using 'DLBCL cells' and a 'xenograft mouse model', which is not an observational study of a human population as required by the inclusion criteria. Secondly, none of the specified air pollutants (Carbon Monoxide, Ozone, Nitrogen Dioxide) are mentioned in the title or abstract. Thirdly, while 'PARK7' (parkinsonism associated deglycase) is mentioned, it refers to a protein involved in lymphoma progression, not Parkinson's disease as an adverse health outcome. The study's primary focus is DLBCL, not Parkinson's disease. Consequently, Parkinson's is not investigated as an adverse health outcome related to air pollution, as neither element is present. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Hu, -C.; Shiah, I.-S.; Yeh, C.-B.; Chen, H.-K.; Chen, C.-K.",2006,Ziprasidone in the treatment of delayed carbon monoxide encephalopathy,Progress in Neuro-Psychopharmacology and Biological Psychiatry,10.1016/j.pnpbp.2006.01.019,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is a case report, as indicated by phrases such as 'We present a case of successful treatment' and the detailed description of a single patient ('A 52-year-old depressed woman'). The inclusion criteria explicitly state 'Primary or secondary observational studies of a human population: Examples of this criterion include, cross sectional, longitudinal study (cohort/panel both count), case controls, etc.' and the exclusion criteria explicitly state 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series'. Therefore, this article does not meet the required study design and is excluded. and Exclusion reason: study_design",,,
Dodd and Darol; Willson and Gabrielle; Parkinson and Horace; Bermudez and Edilberto,2013,Two-year drinking water carcinogenicity study of methyl tertiary-butyl ether (MTBE) in Wistar rats,Journal of applied toxicology : JAT,10.1002/jat.1776,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded for several reasons based on the provided criteria. First, the study is an experimental carcinogenicity study conducted on Wistar rats, not an observational study of a human population, which violates the inclusion criterion for study design and population. Second, the article investigates Methyl tertiary-butyl ether (MTBE), which is not one of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) required for inclusion. The criteria explicitly state that studies mentioning only other types of pollutants (like Particulate Matter) or no specified pollutants should be excluded. Lastly, Parkinson's disease is not explicitly mentioned as an adverse health outcome or related to air pollution in the abstract; the study focuses on carcinogenicity, nephropathy, and astrocytomas, which fails the inclusion criteria regarding the health outcome of interest. and Exclusion reason: study_design and Exclusion labels: study_design, population, exposure",,,
"Goria, ; Pascal, M.; Corso, M.; Le Tertre, A.",2021,Short-term exposure to air pollutants increases the risk of hospital admissions in patients with Parkinson's disease – A multicentric study on 18 French areas,Atmospheric Environment,10.1016/j.atmosenv.2021.118668,HIGH,INCLUDE,INCLUDE,"This study should be INCLUDED because it meets all key inclusion criteria. and **Meets inclusion criteria** and - **Language**: Title/abstract are in English. and - **Study design (observational human population)**: Multicentric time-series analysis of daily PD-related hospital admissions across 18 French areas (2009–2017) using generalized additive Poisson regression—an observational design. and - **Exposure (required pollutants present)**: Explicitly includes **NO2** and **ozone (O3)** (also includes PM10/PM2.5, but not exclusively). and - **Outcome (Parkinson’s explicitly stated)**: Parkinson’s disease hospital admissions are explicitly the outcome. and - **Exposure–outcome link**: Objective and results explicitly assess short-term associations between the pollutants (including NO2 and ozone) and PD hospital admissions. and **Does not meet exclusion criteria** and - Not non-English. and - Not an interventional trial, qualitative study, case report/series, or review. and - Not excluded for “PM-only” exposure, because **NO2 and ozone are included** and analyzed. and **Reconciling prior screeners’ disagreement** and - The strict screener’s concerns about “patients” and PM are not sufficient for exclusion here: the inclusion criteria explicitly allow **Parkinson’s hospitalizations** related to the specified pollutants, and the paper includes **NO2 and ozone** (so it is not a PM-only study). The liberal screener’s inclusion rationale aligns with the stated eligibility criteria. and **Conclusion**: Include—observational study linking **NO2/O3** with **Parkinson’s hospital admissions**.",,,
"Ma and Ruoyun E.; Ward and Eric J.; Yeh and Chien-Lin; Snyder and Sandy; Long and Zaiyang; Gokalp Yavuz and Fulya; Zauber, S. Elizabeth; Dydak and Ulrike",2018,Thalamic GABA levels and occupational manganese neurotoxicity: Association with exposure levels and brain MRI,Neurotoxicology,10.1016/j.neuro.2017.08.013,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is an observational study written in English, investigating a human population and mentions symptoms resembling Parkinson's disease (IPD) as an adverse health outcome, assessed using UPDRS-III. However, the study fails to meet the crucial inclusion criterion regarding the specific air pollutants. The inclusion criteria explicitly state that 'At least one pollutant must be mentioned in TiAb or FT' from the list: Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2). This article focuses on 'Manganese (Mn)' and 'Mn fumes' as the exposure, which is not one of the specified air pollutants (CO, O3, NO2). Therefore, despite meeting other criteria, it must be excluded due to the mismatch in the defined exposure. and Exclusion reason: exposure",,,
"McCarty, ; Barroso-Aranda, J.; Contreras, F.",2009,High-dose folate and dietary purines promote scavenging of peroxynitrite-derived radicals - Clinical potential in inflammatory disorders,Medical Hypotheses,10.1016/j.mehy.2008.09.058,VERY_HIGH,EXCLUDE,EXCLUDE,"The article does not meet several key inclusion criteria and aligns with multiple exclusion criteria. Firstly, it is not a primary or secondary observational study of a human population; the abstract discusses biochemical mechanisms, proposes research in rodent models, and mentions 'epidemiological associations' as a reference, indicating it is likely a review or commentary rather than an original observational study. Secondly, while 'nitrogen dioxide' is mentioned, it is in the context of 'peroxynitrite-derived radicals' and biochemical reactions within the body, not as an environmental air pollutant exposure (CO, O3, NO2) as required by the criteria. Lastly, Parkinson's disease is mentioned, but its association is with 'urate's radical scavenging activity' and 'dietary purines,' not with any of the specified air pollutants. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Robinson, C.A.",2002,The role of anatomical pathology in understanding human movement disorders,Parkinsonism and Related Disorders,10.1016/S1353-8020(02)00031-7,VERY_HIGH,EXCLUDE,EXCLUDE,"## Criteria match assessment (PEO framework: Population–Exposure–Outcome) and ### Arguments for inclusion and - **Language:** The title/abstract are in English. and - **Population (human):** Refers to human clinical disorders and “patients with ET,” indicating a human context. and ### Arguments for exclusion (decisive) and - **Exposure not met (required air pollutants absent):** The abstract does **not** mention **carbon monoxide (CO), ozone (O3), or nitrogen dioxide (NO2)** (nor any air pollution exposure). Inclusion requires at least one of these pollutants in title/abstract/full text; based on the provided title/abstract, this criterion is not met. and - **Outcome not met (Parkinson’s not explicit):** Parkinson’s disease is **not explicitly mentioned**. The disorders discussed are **essential tremor (ET)** and **primary dystonia**; “extrapyramidal movement disorders” is too broad and does not satisfy the requirement that Parkinson’s be explicitly mentioned as an outcome. and - **Study design/publication type not aligned:** The abstract reads as a **narrative overview/commentary** about anatomical pathology, autopsy findings, and future research directions, rather than an observational epidemiologic study assessing pollutant exposure and Parkinson’s outcomes. and ### Consideration of prior screeners and - The strict screener’s rationale aligns with the eligibility criteria: key required elements (specified pollutants; explicit Parkinson’s; pollutant–Parkinson’s link; observational epidemiologic design) are missing. and - The liberal screener’s inclusion depends on **inferences** (implicit Parkinson’s; implied environmental factors) that are not supported by the title/abstract and do not meet the explicit criteria. and ## Conclusion and This article should be **excluded** because it does not mention any of the required pollutants, does not explicitly mention Parkinson’s disease, and does not present an eligible observational study linking the specified pollutants to Parkinson’s outcomes. and Exclusion reason: exposure and Exclusion labels: exposure, study_design, publication_type",,,
"Lazzarino de Lorenzo, L.G.",2000,Chemical environmental pollution and nervous system. Occupational and environmental risk factors for Parkinson's disease and parkinsonisms,"International Journal of Medicine, Biology and the Environment",NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it describes 'two personal cases', which falls under the exclusion criterion for 'case reports, case studies, case-series'. The abstract explicitly states, 'They report two personal cases. The first patient is a parkinsonian patient... The second case regards a delayed parkinsonian syndrome...'. This type of study design is explicitly listed as a non-observational study to be excluded. Although the article is in English, mentions Carbon Monoxide (CO) as an air pollutant, explicitly mentions Parkinson's disease, and links CO to parkinsonian syndrome, the study design is a definitive exclusion. and Exclusion reason: study_design",,,
"Parkinson, ; Holland, D.; Smith, M. E.; Howes, A. P.; Scales, C. R.",2007,The effect of oxide additions on medium-range order structures in borosilicate glasses,Journal of physics. Condensed matter : an Institute of Physics journal,10.1088/0953-8984/19/41/415114,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet several key inclusion criteria. Firstly, it is a materials science study investigating the structural properties of borosilicate glasses, not an observational study of a human population. Secondly, it does not mention any of the specified air pollutants (Carbon Monoxide, Ozone, Nitrogen Dioxide). Lastly, Parkinson's disease is not mentioned as an adverse health outcome, nor is it linked to air pollution. These points directly contradict the core requirements for inclusion. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Yuan, ; Wu, Y.; Zhao, H.; Ren, J.; Su, W.; Kou, Y.; Wang, Q.; Cheng, J.; Tong, Z.",2023,"Tropospheric formaldehyde levels infer ambient formaldehyde-induced brain diseases and global burden in China, 2013–2019",Science of the Total Environment,10.1016/j.scitotenv.2023.163553,MEDIUM,EXCLUDE,INCLUDE,"## Criterion check (PEO framework: Population–Exposure–Outcome) and ### Arguments for inclusion and - **Language**: Title/abstract are in English. and - **Observational/epidemiologic analysis**: Uses population-level burden metrics (GBD prevalence/incidence/deaths/YLDs/DALYs) and regression across China (2013–2019), which is consistent with an observational/ecological design. and - **Exposure (required pollutants mentioned)**: CO, NO, and O3 are explicitly listed among tropospheric pollutants measured. and - **Outcome mentioned**: Parkinson’s disease is explicitly named. and ### Arguments for exclusion and - **Outcome–exposure link for Parkinson’s is not supported in the abstract**: The analysis described is specifically “to evaluate the relationship between tropospheric FA concentrations and GBD indexes of human brain diseases,” and results state that **only tropospheric formaldehyde (FA)** showed positive correlations for some brain diseases, **“but not in Parkinson's disease.”** Thus, Parkinson’s is not presented as being associated with (or attributable to) the eligible pollutants (CO/O3/NO2) in the reported analyses. and - **Primary exposure of interest appears to be formaldehyde (FA)** (not one of the three target pollutants), and the reported Parkinson’s result is explicitly null (“not in Parkinson’s disease”), making it unlikely that the paper investigates Parkinson’s in relation to CO/O3/NO2 in a way that meets the review’s exposure-outcome requirement. and ### Consideration of prior screeners and - The liberal screener is correct that a **null finding** does not automatically disqualify a study *if* the study truly investigates Parkinson’s in relation to the eligible pollutants. However, here the abstract indicates the key modeled exposure is **FA**, and it explicitly reports **no correlation for Parkinson’s**, with no clear indication that PD was analyzed against **CO/O3/NO2**. and - The strict screener’s point that this is largely an **ecological/aggregate** analysis is not, by itself, an exclusion criterion here; the more decisive issue is the **exposure–outcome mismatch** for Parkinson’s relative to the specified pollutants. and ## Conclusion and Despite mentioning Parkinson’s and listing CO/NO/O3, the abstract frames and reports the association analyses around **formaldehyde** and explicitly states **no association for Parkinson’s**, with no demonstrated investigation of Parkinson’s in relation to **CO/O3/NO2**. Therefore it does not meet the inclusion requirement that Parkinson’s be investigated as an outcome related to one of the three specified pollutants. and Exclusion reason: exposure",,,
"Monasterio, ; McKean, A.; Sinhalage, V.; Frampton, C.; Mulder, R.",2018,Sudden death in patients with serious mental illness,New Zealand Medical Journal,NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is written in English and describes an observational study, which aligns with the inclusion criteria. It also mentions 'carbon monoxide poisoning' as a cause of sudden death, thus fulfilling the requirement for an air pollutant to be mentioned. However, the study fails to meet the critical inclusion criteria regarding Parkinson's disease. Parkinson's is not explicitly mentioned as an adverse health outcome in the title or abstract, nor is it investigated as a health outcome related to air pollution. The study focuses on sudden death in patients with serious mental illness, with causes including suicide, motor vehicle crashes, and other medical causes, but not Parkinson's disease. Therefore, it does not meet the core subject matter requirements. and Exclusion reason: population",,,
Dorsey and Ray; Bloem and Bastiaan R.,2024,Parkinson's Disease Is Predominantly an Environmental Disease,Journal of Parkinson's disease,10.3233/JPD-230357,HIGH,EXCLUDE,EXCLUDE,"Assessment vs eligibility criteria: and - Language (English): Likely yes (title/abstract in English). and - Study design (must be primary/secondary observational study in humans): The abstract reads as a narrative argument/review (e.g., “In this paper, we consider…”, “We then detail…”, “We reach the hopeful conclusion…”). It does not describe an observational design (cohort, case-control, cross-sectional), does not define a human study population, and reports no methods/results typical of observational epidemiology. This strongly suggests a commentary/narrative review rather than an observational study. and - Exposure (must mention at least one of CO, O3, NO2 in title/abstract/full text per screening rule): The abstract mentions only “air pollution” generally, with no explicit mention of carbon monoxide (CO), ozone (O3), or nitrogen dioxide (NO2). Under the provided inclusion criteria, at least one of these specific pollutants must be mentioned. and - Outcome (Parkinson’s explicitly mentioned and related to the pollutant): Parkinson’s disease is explicitly mentioned and is discussed as related to environmental toxicants including air pollution, so the outcome component is met; however, exposure specificity and study design are not met. and Consideration of prior screeners: and - The strict screener’s exclusion is better aligned with the criteria: (1) no explicit CO/O3/NO2 mentioned, and (2) publication type/study design appears non-observational (narrative review/commentary). and - The liberal screener treated “air pollution” as implicitly covering CO/O3/NO2; however, the inclusion criteria require at least one of those pollutants to be mentioned (and the abstract does not). and Conclusion: Exclude due to non-observational (review/commentary-like) nature and lack of explicit mention of CO/O3/NO2. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, publication_type",,,
"Weaver, L.K.",2020,Carbon monoxide poisoning,Undersea and Hyperbaric Medicine,10.22462/01.03.2020.17,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet the inclusion criterion for study design. The abstract describes general information about carbon monoxide poisoning, its symptoms, and treatment, including discussions of hyperbaric oxygen therapy and references to 'three supportive randomized clinical trials in humans'. This indicates that the article is a review, commentary, or clinical guideline, rather than a primary or secondary observational study (e.g., cross-sectional, longitudinal, case-control) of a human population. The exclusion criteria explicitly state to exclude 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series' and to 'Look for key words in title & abstract that suggest an article is a review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' This article aligns with the description of a review or commentary. While Carbon Monoxide (CO) is mentioned as an air pollutant and 'Parkinsonian-like syndrome' is mentioned as an adverse health outcome related to CO, the fundamental study design criterion is not met. and Exclusion reason: study_design and Exclusion labels: study_design, publication_type",,,
"Prasanthi, ; Haarika, B.; Selvamuthukumar, S.",2021,Gastro retentive microspheres-drugs for parkinson’s disease,Journal of Drug and Alcohol Research,NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded for multiple reasons. Firstly, the abstract explicitly states, 'In this review majorly three types of microspheres are discussed...' and 'A note on Parkinsonism is added to the review,' indicating that it is a review article, not a primary or secondary observational study of a human population, which is a core inclusion criterion. This directly violates the inclusion criterion requiring observational studies and aligns with the exclusion criterion for 'Non observational studies such as experimental... review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' Secondly, the article does not mention any of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) in the title or abstract. This fails the inclusion criterion requiring at least one of these pollutants to be mentioned. Lastly, while Parkinson's disease is mentioned, it is discussed in the context of drug delivery and treatment ('Gastro retentive microspheres-drugs for parkinson’s disease', 'treatment of Parkinson’s disease'), not as an adverse health outcome related to air pollution. This fails the inclusion criterion that Parkinson's must be investigated as a health outcome related to the defined air pollutants and meets the exclusion criterion that 'Parkinson's is not mentioned as related to air pollutants above.' and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Chen, -Y.; Hung, H.-J.; Chang, K.-H.; Hsu, C.Y.; Muo, C.-H.; Tsai, C.-H.; Wu, T.-N.",2017,Long-term exposure to air pollution and the incidence of Parkinson’s disease: A nested case-control study,PLOS ONE,10.1371/journal.pone.0182834,VERY_HIGH,INCLUDE,INCLUDE,"and **Arguments for Inclusion:** and 1. **Language**: The article is written in English ✓ and 2. **Study Design**: This is explicitly described as a ""nested case-control study"" using longitudinal data from the National Health Insurance Research Dataset (NHIRD) following subjects from 1995-2013. This is clearly an observational study design that meets the inclusion criteria ✓ and 3. **Air Pollutants Mentioned**: The study explicitly examines multiple air pollutants including CO (Carbon Monoxide), O₃ (Ozone), and NO₂ (Nitrogen Dioxide) - all three required pollutants are mentioned in the abstract. The study states: ""Ten elements of air pollution were examined"" including ""SO₂, O₃, CO, NOx, NO, NO₂, THC, CH₄, or NMHC"" ✓ and 4. **Parkinson's as Explicit Health Outcome**: Parkinson's disease (PD) is the primary health outcome being investigated. The study identified ""1060 newly diagnosed PD cases"" and measured ""incidence of PD in adults aged 40 years"" ✓ and 5. **Parkinson's Related to Air Pollution**: The entire study investigates the relationship between long-term air pollution exposure and PD incidence. The title explicitly states this relationship, and the methods describe using ""multiple logistic regression models were used to measure their risks in subsequent PD development"" ✓ and **Arguments Against Inclusion:** and The main finding was that ""None of the chemical compounds (SO₂, O₃, CO, NOx, NO, NO₂, THC, CH₄, or NMHC) significantly affected the incidence of PD except for particulate matter."" This means that while CO, O₃, and NO₂ were examined, they did not show significant associations with PD. However, the inclusion criteria require that these pollutants be ""mentioned"" and that the study investigates Parkinson's as related to air pollution - it does not require positive findings for these specific pollutants. The study clearly investigated the relationship between these pollutants and PD, meeting the criteria. and **Conclusion:** and This study meets all inclusion criteria: it is an observational (nested case-control) study in English, mentions all three required air pollutants (CO, O₃, NO₂), explicitly identifies Parkinson's disease as the health outcome, and investigates the relationship between air pollution exposure and PD development. The fact that some pollutants showed null results does not disqualify the study from inclusion.",,,
"Hu, -F.; Lu, M.; Hon Wong, P.T.; Bian, J.-S.",2011,Hydrogen sulfide: Neurophysiology and neuropathology,Antioxidants and Redox Signaling,10.1089/ars.2010.3517,VERY_HIGH,EXCLUDE,EXCLUDE,"The article should be excluded based on multiple criteria. First, the abstract explicitly states, ""This article presents an overview of current knowledge,"" which indicates it is a review article, not a primary or secondary observational study of a human population. This directly violates the inclusion criterion for study design and aligns with the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series' which specifically mentions 'review' articles. Second, while Carbon Monoxide (CO) is mentioned, it is in the context of 'gasotransmitters' alongside Hydrogen sulfide (H2S) and nitric oxide, not as an environmental air pollutant linked to adverse health outcomes. The primary focus of the article is H2S. The inclusion criteria require one of the specified air pollutants (CO, O3, NO2) to be mentioned as an air pollutant. Furthermore, Parkinson's disease is mentioned, but it is linked to H2S, not to CO, O3, or NO2 as air pollutants. This violates the inclusion criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' and aligns with the exclusion criterion 'Parkinson's is not mentioned as related to air pollutants above'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Dreyer-Andersen, ; Almeida, A.S.; Jensen, P.; Kamand, M.; Okarmus, J.; Rosenberg, T.; Friis, S.D.; Martìnez-Serrano, A.M.; Blaabjerg, M.; Kristensen, B.W.; Skrydstrup, T.; Gramsbergen, J.B.; Vieira, H.L.A.; Meyer, M.",2018,"Intermittent, low dose carbon monoxide exposure enhances survival and dopaminergic differentiation of human neural stem cells",PLOS ONE,10.1371/journal.pone.0191207,VERY_HIGH,EXCLUDE,EXCLUDE,"The article describes an in vitro experimental study investigating the effect of carbon monoxide (CO) on the dopaminergic differentiation of human neural stem cells for potential Parkinson's disease treatment. This does not meet the inclusion criterion requiring 'Primary or secondary observational studies of a human population'. The study design is experimental, which is explicitly listed under the exclusion criteria ('Non observational studies such as experimental'). Furthermore, while CO and Parkinson's disease are mentioned, the study does not investigate Parkinson's as an adverse health outcome related to air pollution exposure in a human population. Instead, CO is used as an experimental agent to enhance cell differentiation, failing to meet the criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
